Contributor Interest Group,Contribution Amount
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$3500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$900
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$900
Petroleum refining & marketing,$250
Petroleum refining & marketing,$250
Petroleum refining & marketing,$200
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$900
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$3500
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$1250
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$10000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1304
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$900
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$225
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$400
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1300
Petroleum refining & marketing,$1300
Petroleum refining & marketing,$1300
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$1250
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$250
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$500
Petroleum refining & marketing,$250
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1700
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1700
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,-$4000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$700
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$700
Petroleum refining & marketing,$250
Petroleum refining & marketing,$600
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$500
Petroleum refining & marketing,$200
Petroleum refining & marketing,$4000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1150
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$200
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$300
Petroleum refining & marketing,$300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$300
Petroleum refining & marketing,$700
Petroleum refining & marketing,$200
Petroleum refining & marketing,$250
Petroleum refining & marketing,$500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$250
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$200
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$200
Petroleum refining & marketing,$300
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$3000
Petroleum refining & marketing,-$2500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1100
Petroleum refining & marketing,$900
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$200
Petroleum refining & marketing,$1700
Petroleum refining & marketing,$4000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$4000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$3500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,-$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,-$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,-$2300
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$4000
Petroleum refining & marketing,$3000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$4000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$4000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$4000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$500
Petroleum refining & marketing,$250
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$250
Petroleum refining & marketing,$250
Petroleum refining & marketing,$250
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$4500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$250
Petroleum refining & marketing,$300
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$900
Petroleum refining & marketing,$1100
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$200
Petroleum refining & marketing,$1300
Petroleum refining & marketing,$1500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$700
Petroleum refining & marketing,$200
Petroleum refining & marketing,$800
Petroleum refining & marketing,$1600
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$300
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$250
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1100
Petroleum refining & marketing,$1100
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$1100
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$250
Petroleum refining & marketing,$2500
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2300
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1900
Petroleum refining & marketing,$200
Petroleum refining & marketing,$500
Petroleum refining & marketing,$500
Petroleum refining & marketing,$1000
Petroleum refining & marketing,$500
Petroleum refining & marketing,$400
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$250
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$1600
Petroleum refining & marketing,$600
Petroleum refining & marketing,$2100
Petroleum refining & marketing,$250
Petroleum refining & marketing,$250
Petroleum refining & marketing,$500
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$5000
Petroleum refining & marketing,$2000
Petroleum refining & marketing,$206
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$250
Mining,$1000
Mining,$300
Mining,$250
Mining,$250
Mining,$1000
Mining,$1000
Mining,$350
Mining,$500
Mining,$500
Mining,$1000
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$250
Mining,$500
Mining,$200
Mining,$300
Mining,$250
Mining,$500
Mining,$1000
Mining,$500
Mining,$1000
Mining,$500
Mining,$500
Mining,$500
Mining,$1000
Mining,$1250
Mining,$1250
Mining,$500
Mining,$1500
Mining,$1000
Mining,$1500
Mining,$1000
Mining,$3000
Mining,$2000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$2000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$2000
Mining,$2100
Mining,$900
Mining,$2000
Mining,$1200
Mining,$1500
Mining,$250
Mining,$2000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$2100
Mining,$600
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$250
Mining,$1000
Mining,$250
Mining,$200
Mining,$200
Mining,$1000
Mining,$1000
Mining,$250
Mining,$300
Mining,$300
Mining,$500
Mining,$250
Mining,$250
Mining,$250
Mining,$2000
Mining,$950
Mining,$500
Mining,$1000
Mining,$1000
Mining,$250
Mining,$1000
Mining,$2000
Mining,$250
Mining,$1000
Mining,$1000
Mining,$1500
Mining,$1000
Mining,$500
Mining,$250
Mining,$300
Mining,$300
Mining,$1000
Mining,$1000
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$250
Mining,$1000
Mining,$5000
Mining,$1000
Mining,$3000
Mining,$2000
Mining,$1000
Mining,$250
Mining,$1000
Mining,$1000
Mining,$1250
Mining,$1250
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$2500
Mining,$750
Mining,$1750
Mining,$250
Mining,$500
Mining,$500
Mining,$2500
Mining,$1500
Mining,$250
Mining,$500
Mining,$2300
Mining,$1000
Mining,$840
Mining,$2100
Mining,$1000
Mining,$500
Mining,$3000
Mining,$2000
Mining,$500
Mining,$1000
Mining,$1000
Mining,$3000
Mining,$1000
Mining,$3000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$1000
Mining,$900
Mining,-$900
Mining,$1000
Mining,$2000
Mining,$2000
Mining,-$200
Mining,$200
Mining,$400
Mining,$1000
Mining,$1500
Mining,$500
Mining,$1000
Mining,$1000
Mining,$800
Mining,$1000
Mining,-$800
Mining,$1000
Mining,$500
Mining,$1000
Mining,$2000
Mining,-$1400
Mining,$1000
Mining,$1000
Mining,$500
Mining,$2000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$250
Mining,-$2300
Mining,$4600
Mining,$2300
Mining,$4000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$1100
Mining,$1000
Mining,-$1000
Mining,$1250
Mining,$1250
Mining,$1000
Mining,$1000
Mining,$500
Mining,$2300
Mining,$2300
Mining,$2300
Mining,$2300
Mining,$1800
Mining,$200
Mining,-$2300
Mining,-$2300
Mining,-$1800
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$1000
Mining,$200
Mining,$5000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1500
Mining,$1000
Mining,$2000
Mining,$3000
Mining,$2000
Mining,$2000
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$1000
Mining,$250
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$1000
Mining,$4600
Mining,-$2300
Mining,$2300
Mining,$500
Mining,$500
Mining,$2000
Mining,$2000
Mining,$2100
Mining,$2100
Mining,$1600
Mining,$400
Mining,$1000
Mining,$1000
Mining,$2000
Mining,-$300
Mining,$500
Mining,$2300
Mining,$2000
Mining,$1700
Mining,$300
Mining,$1000
Mining,$500
Mining,$500
Mining,$300
Mining,$500
Mining,$250
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$2000
Mining,-$1000
Mining,-$1000
Mining,$2000
Mining,$2000
Mining,$1000
Mining,$300
Mining,$500
Mining,$200
Mining,$1000
Mining,$400
Mining,$500
Mining,$1000
Mining,$1000
Mining,$250
Mining,$1000
Mining,$1000
Mining,$300
Mining,$250
Mining,$2000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$2100
Mining,$5400
Mining,$1000
Mining,$2000
Mining,$2000
Mining,$250
Mining,$1000
Mining,$4000
Mining,$500
Mining,$2100
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$1000
Mining,$500
Mining,$500
Mining,$1500
Mining,$1500
Mining,$500
Mining,$2100
Mining,$1000
Mining,$500
Mining,$1250
Mining,$1250
Mining,$1000
Mining,$1500
Mining,$3500
Mining,$250
Mining,$1250
Mining,$250
Mining,$1000
Mining,$250
Mining,$2300
Mining,$250
Mining,$1000
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$1000
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$250
Mining,$500
Mining,$200
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$1000
Mining,$2000
Mining,$2000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$500
Mining,$2000
Mining,$1000
Mining,$1500
Mining,$1500
Mining,$500
Mining,$1500
Mining,$1000
Mining,$1000
Mining,$1500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,-$1000
Mining,$250
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$2500
Mining,$1000
Mining,$1000
Mining,$700
Mining,$1000
Mining,$1300
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,-$1000
Mining,$600
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,-$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$3000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$250
Mining,$200
Mining,$4000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$1000
Mining,$1000
Mining,$2000
Mining,$2000
Mining,$400
Mining,$400
Mining,$1000
Mining,$500
Mining,$1000
Mining,$500
Mining,$1000
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$200
Mining,$250
Mining,$1000
Mining,$200
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$2300
Mining,$1000
Mining,$1000
Mining,$250
Mining,$500
Mining,$200
Mining,$200
Mining,$200
Mining,$1000
Mining,$1000
Mining,$250
Mining,$500
Mining,$500
Mining,$1000
Mining,$500
Mining,$1500
Mining,$2000
Mining,$1000
Mining,$500
Mining,$250
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,-$1000
Mining,$250
Mining,$300
Mining,$500
Mining,$2000
Mining,$300
Mining,$2000
Mining,$1000
Mining,$250
Mining,$250
Mining,$250
Mining,$250
Mining,$2000
Mining,$2300
Mining,$500
Mining,$2300
Mining,$2000
Mining,$2300
Mining,$500
Mining,$500
Mining,$500
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,$500
Mining,$500
Mining,$1250
Mining,$1250
Mining,$1000
Mining,$2000
Mining,$2000
Mining,$2000
Mining,$1000
Mining,$2100
Mining,$3000
Mining,$1000
Mining,$1000
Mining,$1000
Mining,-$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$2000
Alternate energy production & services,$1000
Alternate energy production & services,$500
Alternate energy production & services,$1000
Alternate energy production & services,$250
Alternate energy production & services,$250
Alternate energy production & services,$250
Alternate energy production & services,$300
Alternate energy production & services,$200
Alternate energy production & services,$2100
Alternate energy production & services,$2100
Alternate energy production & services,$500
Alternate energy production & services,$250
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$2100
Alternate energy production & services,$1000
Alternate energy production & services,$2100
Alternate energy production & services,$2100
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$2300
Alternate energy production & services,$2000
Alternate energy production & services,$2300
Alternate energy production & services,$1000
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$5000
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$2300
Alternate energy production & services,$1000
Alternate energy production & services,$2300
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$500
Alternate energy production & services,$1000
Alternate energy production & services,$2300
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$1000
Alternate energy production & services,$300
