Legislator,Party,"Vote on Energy Independence and Security Act of 2007 On Passage - Senate - H.R. 6, As Amended, 06/22/2007",Contribution Amount,Contributor Employer,Contributor Interest Group,Interest Group Position on Energy Independence and Security Act of 2007
Ken Salazar,Democrat,Yes,$500,Cf/Clean Energy,Alternate energy production & services,Support
Ken Salazar,Democrat,Yes,$1000,,Alternate energy production & services,Support
Barack Obama,Democrat,Yes,$1000,Invenergy LLC,Alternate energy production & services,Support
Barack Obama,Democrat,Yes,$2000,Invenergy LLC,Alternate energy production & services,Support
Barack Obama,Democrat,Yes,$1000,Invenergy LLC,Alternate energy production & services,Support
Amy Klobuchar,Democrat,Yes,$500,National Biofuels,Alternate energy production & services,Support
Amy Klobuchar,Democrat,Yes,$1000,Poet Energy,Alternate energy production & services,Support
Amy Klobuchar,Democrat,Yes,$1000,,Alternate energy production & services,Support
Amy Klobuchar,Democrat,Yes,$2500,,Alternate energy production & services,Support
Jon Tester,Democrat,Yes,$2100,Invenergy LLC,Alternate energy production & services,Support
Jon Tester,Democrat,Yes,$1000,,Alternate energy production & services,Support
Bob Casey,Democrat,Yes,$250,Sunnyside Ethanol,Alternate energy production & services,Support
Bob Casey,Democrat,Yes,$250,Consus Ethanol,Alternate energy production & services,Support
Sheldon Whitehouse,Democrat,Yes,$1000,Gridpoint Inc,Alternate energy production & services,Support
Bob Corker,Republican,Yes,$1000,,Alternate energy production & services,Support
Bob Corker,Republican,Yes,$1000,Mascoma Corp,Alternate energy production & services,Support
Bob Corker,Republican,Yes,$1000,,Alternate energy production & services,Support
Jim Webb,Democrat,Yes,$250,American Council on Renewable Energy,Alternate energy production & services,Support
Jim Webb,Democrat,Yes,$1000,Renewable Energy,Alternate energy production & services,Support
Jim Webb,Democrat,Yes,$500,Gridpoint Inc,Alternate energy production & services,Support
Jim Webb,Democrat,Yes,$250,Gridpoint Inc,Alternate energy production & services,Support
Jim Webb,Democrat,Yes,$250,Gridpoint Inc,Alternate energy production & services,Support
Sherrod Brown,Democrat,Yes,$2100,Belfer Management,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,Belfer Management,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,Carlson Capital,Investors,Oppose
Sherrod Brown,Democrat,Yes,$250,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$500,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$500,HBJ Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$500,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$250,Lakepoint Investment Partners,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,Montana Corp,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$250,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$250,Bridge Investment Fund,Investors,Oppose
Sherrod Brown,Democrat,Yes,$500,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$300,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$250,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,HBJ Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,HBJ Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,HBJ Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2000,HBJ Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,Diem Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$300,McDonald Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$250,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,Tanamar Inc,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$200,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,Greystone Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,Innovation Investments,Investors,Oppose
Sherrod Brown,Democrat,Yes,$500,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$500,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,$2100,Equidex Inc,Investors,Oppose
Sherrod Brown,Democrat,Yes,$1000,,Investors,Oppose
Sherrod Brown,Democrat,Yes,-$150,,Investors,Oppose
Sherrod Brown,Democrat,Yes,-$150,,Investors,Oppose
Richard Burr,Republican,No,$1200,,Investors,Oppose
Richard Burr,Republican,No,$3000,,Investors,Oppose
Richard Burr,Republican,No,-$1200,,Investors,Oppose
Richard Burr,Republican,No,$1200,,Investors,Oppose
Richard Burr,Republican,No,-$1200,,Investors,Oppose
Richard Burr,Republican,No,$3000,,Investors,Oppose
Richard Burr,Republican,No,$300,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$1000,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$2000,Polaris Investment,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$1000,Arbor Enterprises,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$200,,Investors,Oppose
Richard Burr,Republican,No,$1000,Pan Inc,Investors,Oppose
Richard Burr,Republican,No,$500,,Investors,Oppose
Richard Burr,Republican,No,$1000,JMR Group,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$1000,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$3000,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,-$2500,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$2000,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$500,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$500,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$2000,Saul Partners,Investors,Oppose
Richard Burr,Republican,No,$2000,Westbrook Partners,Investors,Oppose
Richard Burr,Republican,No,$1000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$300,,Investors,Oppose
Richard Burr,Republican,No,$500,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$500,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$700,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$500,Guggenheim Brothers,Investors,Oppose
Richard Burr,Republican,No,$2000,WW Tichenor & Co,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,WW Tichenor & Co,Investors,Oppose
Richard Burr,Republican,No,$300,Carruth Management,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$2000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$2000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$2000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$2000,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,Phillips Industries,Investors,Oppose
Richard Burr,Republican,No,$2000,Investor/Philanthropist,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$2000,Investor/Philanthropist,Investors,Oppose
Richard Burr,Republican,No,$2000,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$2000,Grey Bull Inc,Investors,Oppose
Richard Burr,Republican,No,$611,Entrepreneurial Corp Group,Investors,Oppose
Richard Burr,Republican,No,$2400,,Investors,Oppose
Richard Burr,Republican,No,$2000,Entrepreneurial Corp Group,Investors,Oppose
Richard Burr,Republican,No,$2000,Peter O'Donnell Jr Investments,Investors,Oppose
Richard Burr,Republican,No,$2000,Peter O'Donnell Jr Investments,Investors,Oppose
Richard Burr,Republican,No,$333,Hoglund Resources,Investors,Oppose
Richard Burr,Republican,No,$1000,Naegele Communications,Investors,Oppose
Richard Burr,Republican,No,$1000,Naegele Communications,Investors,Oppose
Richard Burr,Republican,No,$200,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$2000,Ranger Governance Ltd,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$2000,Eldred Enterprises,Investors,Oppose
Richard Burr,Republican,No,$825,Clive Runnells Enterprises,Investors,Oppose
Richard Burr,Republican,No,$500,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$500,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,Saul Partners,Investors,Oppose
Richard Burr,Republican,No,$2000,Ranger Governance Ltd,Investors,Oppose
Richard Burr,Republican,No,$2000,Choptank Partners,Investors,Oppose
Richard Burr,Republican,No,$2000,Choptank Partners,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$2000,HCM Investments,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$2000,Naegele Communications,Investors,Oppose
Richard Burr,Republican,No,$2000,Naegele Communications,Investors,Oppose
Richard Burr,Republican,No,$666,WS Farish & Co,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1083,WS Farish & Co,Investors,Oppose
Richard Burr,Republican,No,$1541,Perry R Bass Inc,Investors,Oppose
Richard Burr,Republican,No,$875,Ecclestone Investment Group,Investors,Oppose
Richard Burr,Republican,No,$1791,Perry R Bass Inc,Investors,Oppose
Richard Burr,Republican,No,$1591,Eldred Enterprises,Investors,Oppose
Richard Burr,Republican,No,$500,Kemmerer Resources,Investors,Oppose
Richard Burr,Republican,No,$1708,,Investors,Oppose
Richard Burr,Republican,No,$2000,Forbes Westar Pistol Creek Finance,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$833,,Investors,Oppose
Richard Burr,Republican,No,$1333,,Investors,Oppose
Richard Burr,Republican,No,$1291,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$250,Private Investment,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,-$1000,Naegele Communications,Investors,Oppose
Richard Burr,Republican,No,-$1000,Naegele Communications,Investors,Oppose
Richard Burr,Republican,No,$500,Polaris Investment,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$500,David Jones Investments,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$2000,,Investors,Oppose
Richard Burr,Republican,No,$1000,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$200,,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$250,H&M Diversifield Investments,Investors,Oppose
Richard Burr,Republican,No,$250,,Investors,Oppose
Richard Burr,Republican,No,$2000,Private Investment,Investors,Oppose
Richard Burr,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,Edelman Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,"Clair, Zamoiski & Segal",Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,Innovation Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,Fernwood Art Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1050,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1050,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$375,MSD Capital,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,Cypress Group LLC,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$200,,Investors,Oppose
Ben Cardin,Democrat,Yes,$200,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,HBJ Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,Carlson Capital,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,P&L Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,P&L Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,,Investors,Oppose
Ben Cardin,Democrat,Yes,$4200,,Investors,Oppose
Ben Cardin,Democrat,Yes,$4200,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1600,,Investors,Oppose
Ben Cardin,Democrat,Yes,$250,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,Rhoda Glickman Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$2000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,Holcomb Investments,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,Tanamar Inc,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,Brown Investment,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,Investment Anaylst,Investors,Oppose
Ben Cardin,Democrat,Yes,$2100,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,Cypress Group LLC,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$1000,,Investors,Oppose
Ben Cardin,Democrat,Yes,$500,Boulder Ventures,Investors,Oppose
Jim DeMint,Republican,No,$2000,Champion Investment,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$500,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$1000,Arbor Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$200,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$500,Johns Island Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$1500,,Investors,Oppose
Jim DeMint,Republican,No,$1000,American Services,Investors,Oppose
Jim DeMint,Republican,No,$2000,Pisces Inc,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$500,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$1000,Johns Island Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$500,Personal Investor,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$400,,Investors,Oppose
Jim DeMint,Republican,No,$2000,Peter O'Donnell Jr Investments,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$333,,Investors,Oppose
Jim DeMint,Republican,No,$333,Hoglund Resources,Investors,Oppose
Jim DeMint,Republican,No,$2000,Peter O'Donnell Jr Investments,Investors,Oppose
Jim DeMint,Republican,No,$2000,Ranger Governance Ltd,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$200,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$500,Brandes Investment Partners,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$2000,Saul Partners,Investors,Oppose
Jim DeMint,Republican,No,$1000,Saul Partners,Investors,Oppose
Jim DeMint,Republican,No,$2000,Saul Partners,Investors,Oppose
Jim DeMint,Republican,No,$2000,Saul Partners,Investors,Oppose
Jim DeMint,Republican,No,$2000,HCM Investments,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,HCM Investments,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$500,Xantos Partners,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$500,Xantos Partners,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$750,Muhs Co,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$500,Johns Island Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$1000,Arbor Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$250,,Investors,Oppose
Jim DeMint,Republican,No,$750,Guggenhelm Brothers,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$999,,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$833,,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$750,,Investors,Oppose
Jim DeMint,Republican,No,$250,Greenlaw Investments,Investors,Oppose
Jim DeMint,Republican,No,$2000,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$1000,Johns Island Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$1000,Hipp Investments,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,-$900,,Investors,Oppose
Jim DeMint,Republican,No,$900,,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$1000,Hipp Investments,Investors,Oppose
Jim DeMint,Republican,No,-$500,Johns Island Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$1000,Johns Island Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$500,Johns Island Enterprises,Investors,Oppose
Jim DeMint,Republican,No,$1000,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$300,,Investors,Oppose
Jim DeMint,Republican,No,$900,,Investors,Oppose
Jim DeMint,Republican,No,$1200,,Investors,Oppose
Jim DeMint,Republican,No,-$900,,Investors,Oppose
Jim DeMint,Republican,No,$1533,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,-$233,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,$800,,Investors,Oppose
Jim DeMint,Republican,No,-$800,,Investors,Oppose
Jim DeMint,Republican,No,$233,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,$1000,,Investors,Oppose
Jim DeMint,Republican,No,$1533,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$200,Private Investments,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$250,Sperosmith Investments,Investors,Oppose
Jim DeMint,Republican,No,$1000,Shey Investment Services,Investors,Oppose
Jim DeMint,Republican,No,$200,Private Investments,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$2000,Stone Group,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$200,,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$500,MSD Capital,Investors,Oppose
Jim DeMint,Republican,No,$500,,Investors,Oppose
Jim DeMint,Republican,No,$600,,Investors,Oppose
Jim DeMint,Republican,No,$766,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,$766,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,$200,Private Investments,Investors,Oppose
Jim DeMint,Republican,No,$1000,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$200,Zurlo Investment Trust,Investors,Oppose
Jim DeMint,Republican,No,$300,Guggenheim Brothers,Investors,Oppose
Jim DeMint,Republican,No,$200,Guggenheim Brothers,Investors,Oppose
Johnny Isakson,Republican,No,$2000,,Investors,Oppose
Johnny Isakson,Republican,No,$2000,,Investors,Oppose
Johnny Isakson,Republican,No,$1000,DMK International,Investors,Oppose
Johnny Isakson,Republican,No,$2000,,Investors,Oppose
Johnny Isakson,Republican,No,$1000,,Investors,Oppose
Johnny Isakson,Republican,No,$500,,Investors,Oppose
Johnny Isakson,Republican,No,$250,,Investors,Oppose
Johnny Isakson,Republican,No,$500,,Investors,Oppose
Johnny Isakson,Republican,No,$500,Comanche Investment,Investors,Oppose
Johnny Isakson,Republican,No,$1000,Payne Investments,Investors,Oppose
Johnny Isakson,Republican,No,$1000,,Investors,Oppose
Johnny Isakson,Republican,No,$1000,Comanche Investment,Investors,Oppose
Johnny Isakson,Republican,No,$1000,Payne Investments,Investors,Oppose
Johnny Isakson,Republican,No,$1000,,Investors,Oppose
Johnny Isakson,Republican,No,$250,Pine Leaf Investments,Investors,Oppose
Johnny Isakson,Republican,No,$250,,Investors,Oppose
Johnny Isakson,Republican,No,$2000,,Investors,Oppose
Johnny Isakson,Republican,No,$1000,Comanche Investment,Investors,Oppose
Johnny Isakson,Republican,No,$2000,,Investors,Oppose
Johnny Isakson,Republican,No,$250,,Investors,Oppose
Johnny Isakson,Republican,No,$4000,,Investors,Oppose
Johnny Isakson,Republican,No,$250,,Investors,Oppose
